id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
890808534363360428,Korean Gem in Brighton,477287323,Richard,,Brighton,42.35666,-71.16563,Private room,114,1,48,2025-05-25,2.00,1,355,21,STR-531923
891295191097700705,Amazing 3BR w/ Private Rooftop,133683011,Pascal,,East Boston,42.3766504,-71.0346948,Entire home/apt,210,29,3,2024-08-03,0.12,1,229,1,STR-528743
891562382876519272,Nature x City in Boston,5616611,Andrea,,Jamaica Plain,42.3101345,-71.0990554,Entire home/apt,153,91,0,,,1,353,0,
892195997520577363,Stunning. Unique. And Very Upscale 3BR 2BA W&Dryer,163848078,Adam,,South Boston Waterfront,42.3496,-71.04379,Entire home/apt,804,29,3,2023-07-07,0.12,95,365,0,STR-264768
892203706815522557,Modern & Cozy Charles River View condo W&D in unit,163848078,Adam,,Brighton,42.360273676805456,-71.15060224133732,Entire home/apt,547,29,0,,,95,365,0,STR-253643
892245166226778805,"Modern Luxurious Charles River View, 2BR 2BA Condo",163848078,Adam,,Brighton,42.36032093963335,-71.14837356544191,Entire home/apt,459,29,3,2023-07-31,0.12,95,365,0,Exempt: This listing is a unit used for furnished institutional or business stays
892823240169717754,Cozy Oasis Minutes From Logan,190645992,Hans,,East Boston,42.366014916445515,-71.0304134908038,Entire home/apt,362,2,28,2025-05-30,1.32,1,17,13,STR-528989
892869396253416584,Homey 2BR 2BA Apartment Close to Boston Downtown,150150201,Nova,,Brighton,42.34677,-71.14316,Entire home/apt,177,29,2,2023-08-14,0.08,4,39,0,
893355181778189037,Luxury Loft | W/D in Unit | Pet Friendly,382451810,Sean,,Downtown,42.35758,-71.0556,Entire home/apt,328,1,95,2025-05-14,3.80,54,234,41,STR-489710
893975999133947853,Spacious apt 5min drive Downtown~,439013531,Peter,,East Boston,42.3772,-71.0234,Entire home/apt,398,29,5,2023-07-16,0.20,4,365,0,STR-546064
895844491349690073,1Bedroom • Boston• Airport • Magnificent view,131681547,Emma,,East Boston,42.39006727537949,-71.00597769672298,Entire home/apt,209,3,22,2025-05-25,0.95,1,185,13,STR-464151
896170185862100440,"Cheerful, Open Concept, Apt. 2BD/1Bath, 1st Floor",400597920,Eddie,,Roslindale,42.28593803715664,-71.14666342630856,Entire home/apt,172,29,12,2025-06-07,0.49,2,34,5,Exempt: This listing is a unit used for furnished institutional or business stays
896426215566639130,Luxury apartment 2bd 2bath,28929296,Seif,,South End,42.34401868076919,-71.06464307233084,Entire home/apt,381,29,3,2023-07-14,0.12,2,365,0,STR-547396
896498493759045169,Boston 4bd 2 bath Townhouse with parking & office,16052189,Jonathan,,Hyde Park,42.25103653441923,-71.13272659288779,Entire home/apt,189,30,4,2024-11-23,0.31,11,221,3,
897016912760388121,Penthouse Overlooking Boston Common,408254229,Scott,,Downtown,42.3522848,-71.0660137,Entire home/apt,411,29,9,2024-11-10,0.44,1,360,3,str-526597
897900710964345557,Victorian room hosted by Treana,100757024,Treana,,Roxbury,42.3150924,-71.085883,Private room,56,2,43,2025-06-08,1.95,1,100,27,STR-530667
898508242331312550,Tranquil Allston Condo w/ Parking by Harvard/BU/BC,306329570,Jonathan,,Allston,42.3515002,-71.1408802,Entire home/apt,186,29,18,2025-04-13,0.86,4,322,6,STR-569381
899216971894283310,Modern 2 bedroom/2 bathroom Condo (Free Parking),173101497,Dustin,,Roxbury,42.322493071677464,-71.08365859542546,Entire home/apt,,180,8,2024-05-23,0.35,1,43,0,STR-535041
899257714523301486,Sunny Apt - Historic Beacon Hill,144676466,John,,Beacon Hill,42.35918900000001,-71.0672568,Entire home/apt,225,91,2,2025-04-30,0.09,1,231,1,
899769339425439911,"Blueground | Downtown, gym & w/d, nr Chinatown",107434423,Blueground,,Chinatown,42.3522851,-71.05910879999999,Entire home/apt,,32,0,,,369,343,0,
900018821584091710,Spacious Condo in Boston's South End,20527961,Gayle,,South End,42.343446834480865,-71.07304531640413,Entire home/apt,,3,19,2025-06-15,0.78,1,0,6,STR-529608
900760905156616356,Alyn,268089102,Maria,,Dorchester,42.3131565640206,-71.05738075256687,Private room,56,29,8,2024-09-02,0.33,3,231,1,Exempt: This listing is a unit used for furnished institutional or business stays
901693942583530629,Large Private Room (Orchid Room),133457702,Selim,,Jamaica Plain,42.32367209126128,-71.10681704647588,Private room,96,2,3,2023-09-18,0.12,9,78,0,STR-552508
901710601502074888,Best 1 bed 1 living r with extra sofa bed Boston,373675137,Liya,,Beacon Hill,42.35916,-71.06762,Entire home/apt,202,29,3,2025-03-31,0.30,114,164,3,
